"Jul 19, 2016",,
"Jul 21, 2016","This was fast. The thing literally came out yesterday for everyone.Actually, it's still not yet out, so support for this will take its time.",[]
"Aug 6, 2016",It would be great to use Bash on Ubuntu on Windows as the integrated terminal! Not to mention its git installation for the git tab. I can't +1 this enough! :),
"Aug 31, 2016",Noticed that we can use the Bash on Ubuntu on Windows terminal in the integrated terminal now. That's awesome! Now we just need the git integration with the git version installed through bash on ubuntu on windows.,
"Sep 18, 2016",+1,
"Oct 12, 2016",+1,
"Oct 19, 2016",+1,
"Oct 31, 2016","This would be great not just for git but for extensions as well.  I use the vscode-go extension and it shells out to use the command line tools often.  I'd like it if it could shell out to bash as opposed to windows terminal.  It would also need access to environment variables from bash.  Basically, I want it to think it is in a bash environment even though it is in windows.Thanks.",
"Aug 24, 2017",+1,
"Aug 31, 2017",+1,
"Sep 4, 2017",+1,
"Sep 25, 2017",+1,
"Sep 29, 2017",+1,
"Oct 26, 2017",+1,
"Nov 9, 2017",+1,
"Nov 17, 2017",+1 :),
"Nov 17, 2017",+1,
"Nov 20, 2017",@joaomoreno Wanted to check if there any work being done on this WSL git + VSCode integration?,
"Feb 8, 2019","Keep in mind if you go with the wslgit.exe approach, it works but it's deadly slow. So slow that it's completely unusable (even when things outside of Git was very fast).",
"Feb 11, 2019",@joaomoreno is a native integration in VSC planned?,
"Feb 14, 2019",It's 2019.. It's been about 3 years since this issue was brought up... We see no progress at all.Git with vscode is the only reason I am in linux.. using wsl and git for windows together causes some crazy problems like losing permissions on some folders/files. So please vscode guys do something.,
"Feb 14, 2019","I know it's not a permanent solution but if you haven't tried wslgit with vscode, give it a shot. It's stable and performs quite well for me.",
"Feb 14, 2019",Well I think a heads up would be good. Is it being worked on? Can we contribute or test? Don’t leave us in the dark ,
"Feb 15, 2019","@phifa I think @mmirus is referring to https://github.com/andy-5/wslgit which is an unofficial workaround.Edit: Some have reported that it's quite slow compared to using Git for Windows, so I still prefer to have both Git for Windows and WSL installed. Only downside is that I have to ensure my SSH keys and .gitconfig are replicated.Would obviously prefer to stop using Git for Windows though!",
"Feb 18, 2019",wslgit is slow as hell and it's a cludgy workaround.Also SCM/git is just one part of the WSL integration we need from VSCode,
"Mar 9, 2019",Figured it out by using this : https://github.com/andy-5/wslgitWorks great for me WSL &amp; Git &amp; Visual Studio Code without Git Bash,
"Mar 14, 2019",@joaomoreno any updates on this?,
"Mar 17, 2019",Any update on this?,
"Mar 19, 2019","wslgit is not slow at all in my experience if set up properly.Just remember to set the WSLGIT_USE_INTERACTIVE_SHELL variable in Windows to false, see the documentation in its README.",
"Mar 30, 2019",the integrated terminal is working fine with the wsl the issue is the vscode git sidebar is not working at all with the wsl,
"Apr 2, 2019","@panoscool This is what I did to resolve the side bar issue. I opened ""Git Bash"" in Windows and and ran:git config --global core.excludesfile '/the/absolute/path/to/your/global/git/ignore'So currently Git Bash and WSL are referencing the same ignore file globally. I was not sure how Git Bash handles absolute paths so I did ""cd ~"" and ""$PWD"" and it returned ""/c/Users/username"".",
"May 2, 2019","We just announced remote development with VS Code, check out the blog post for details https://code.visualstudio.com/blogs/2019/05/02/remote-development",
"May 3, 2019","We just announced remote development with VS Code, check out the blog post for details https://code.visualstudio.com/blogs/2019/05/02/remote-development@RMacfarlane  Thank you for the heads-up. It really looks great! I have one question though:Now with the Visual Studio Code Remote - WSL extension in action, will VS Code automatically pick up the Git installation in WSL or do we have to manually configure ""git.path"" in the WSL specific settings?Update [2019/05/03]: Upon investigation, it appears Git installation in WSL is picked up automatically. This is awesome!",
"May 3, 2019","It automatically finds git from the WSL system path, no need to configure anything",
"May 3, 2019","With remote-wsl extension, vscode will use toolchains in wsl, but sometimes we just want to use git in wsl and continue to use the toolchain in Windows.",
