"Oct 7, 2017",Can we return previous app icon or draw a new one?It really looks bad.https://code.visualstudio.com/images/1_17_windows-stable-orange.png,
"Oct 7, 2017",I also think the previous icon was more beautiful.,
"Oct 7, 2017",I also think the previous icon was more beautiful.,
"Oct 7, 2017","Why orange,? Blue was way better looking. Now it looks like an office app.",
"Oct 7, 2017","Yep, orange icon looks awful.",
"Oct 7, 2017",Dupl #35683,"['https://github.com/microsoft/vscode/issues/35683', 'https://github.com/microsoft/vscode/issues/35683']"
"Oct 7, 2017",It is better. It now suits the whole Visual Studio product family identics.,
"Oct 7, 2017",Steve Jobs on Microsoft:They just have no taste.,
"Oct 7, 2017",Previous icon was awesome. This one looks weird..,
"Oct 8, 2017","I need an icon on my navigation bar, which has some animation and smiling, when i have frustration that something is not working, it might help.:)",
"Oct 8, 2017",The new icon seems like a mix with the sublime icon and some adobe product icon... The old one had its own personality.,
"Oct 8, 2017",Please change it back,
"Oct 8, 2017","It is the ugliest icon I have ever seen. Vscode is the only application on my Mac that I have changed the icon.Note also that I tried to locate the old version of the icon from the sources, but I found that the icon is not there!",
"Oct 8, 2017",Stop cry for new VS Code icon. It looks good!,
"Oct 8, 2017",This is a very critical show-stopper for serious coding and needs to be changed.,
"Oct 8, 2017",This new icon reduces coding speed in 5 times. It's ridiculous!,
"Oct 8, 2017",Glad to see I'm not the only one who has a problem with this nasty ugly orange / brown icon.The worst color of all.,
"Oct 8, 2017","I don't find the new orange icon particularly bad, but it really looks like a ripoff of Sublime's new icon.Here are both icons for comparison. Sublime came up with its icon first, then vscode followed.",
"Oct 8, 2017",It looks like they accidentally inverted the colors.,
"Oct 9, 2017",I also think the previous icon was more beautiful.,
"Oct 9, 2017",I find it confusing especially when you have a Firefox open at the same time. It doesn't stand-out like the previous one.,
"Oct 9, 2017",I also think the previous icon was more beautiful.New vscode icon won't stay on my taskbar.,
"Nov 10, 2017",The new icon looks amazing on Linux. Is there any way to use this icon on Windows as well?,
"Nov 10, 2017","Didnt care so much for the standardized ""corporate blue"" and was excited for the orange version. I saved the orange .ico before installing the new 64-bit version.I suppose this has become a feature request but it would be pretty awesome if we were able to change the icon color in the menu.I'm sticking with orange for the foreseeable future.",
"Nov 11, 2017","@mckenzieja I'm not all fussed on the color, and will probably stick with blue. BUT, I know how annoying it can be for those who oppose a change and not have the option to turn off/switch back, so even though I wouldn't use the setting myself, I don't see why it'd be a problem to add a setting to change the icon.",
"Nov 12, 2017",I still want the original blue icon.,
