"<relative-time class=""no-wrap"" datetime=""2015-11-19T13:49:36Z"">Nov 19, 2015</relative-time>","I really miss proper tabs for open files (like VS proper), and the ability to rip a tab out into its own window.",
"<relative-time class=""no-wrap"" datetime=""2015-11-20T00:20:01Z"">Nov 20, 2015</relative-time>",+1Would it be possible to add tabs through a custom extension? I quickly looked at the docs but didn't seem possible to add that type of functionality with the current API,
"<relative-time class=""no-wrap"" datetime=""2015-11-20T20:29:35Z"">Nov 20, 2015</relative-time>","Would it be possible to add tabs through a custom extension?No, this is currently not possible from an extension (see also <a href=""http://code.visualstudio.com/docs/extensions/our-approach"" rel=""nofollow"">http://code.visualstudio.com/docs/extensions/our-approach)",
"<relative-time class=""no-wrap"" datetime=""2015-11-29T05:23:49Z"">Nov 29, 2015</relative-time>",+1,
"<relative-time class=""no-wrap"" datetime=""2015-12-18T07:47:11Z"">Dec 18, 2015</relative-time>",,
"<relative-time class=""no-wrap"" datetime=""2015-12-21T07:45:55Z"">Dec 21, 2015</relative-time>",,
"<relative-time class=""no-wrap"" datetime=""2015-12-21T10:14:50Z"">Dec 21, 2015</relative-time>","+1Tabs are the default way to work even in Visual Studio, to not mention other text editors such as sublime.",
"<relative-time class=""no-wrap"" datetime=""2015-12-21T10:17:03Z"">Dec 21, 2015</relative-time>","For those that are missing tabs, have you tried using Ctrl+Tab to navigate in the history of opened files?",
"<relative-time class=""no-wrap"" datetime=""2015-12-21T12:58:28Z"">Dec 21, 2015</relative-time>",Yes. But the file remains in the Ctrl+tab context even after closing the file. The experience is not the same as that of Sublime / Atom.,
"<relative-time class=""no-wrap"" datetime=""2015-12-21T13:01:03Z"">Dec 21, 2015</relative-time>","@snehilmodani right, would it help if the list was showing only what you have in the working files section of the explorer? can you work with the working files list at least?",
"<relative-time class=""no-wrap"" datetime=""2015-12-21T13:23:15Z"">Dec 21, 2015</relative-time>",That would be great!On a side note: Isn't a layout with file names as tabs more user friendly. It is extensible to having one or more sections of tabs each with their own set of opened files. (Again i am taking Sublime Text as reference here),
"<relative-time class=""no-wrap"" datetime=""2015-12-21T13:33:52Z"">Dec 21, 2015</relative-time>","I think having tabs or not is independent from having sections. Today you can open up to 3 editors side by side in VS Code and thus we do have sections. Since we do not have tabs, we do not add multiple files into these sections and you can also not have empty sections (which is a separate UX discussion).Coming back to Ctrl+Tab: We in the team have always worked without tabs from day one and actually we did not even have the working files view for a long time and in fact not so many people in the team are using it. We found that for us it does not matter that much which file you had open or closed. Our minds are rather thinking about the chronological order of which file we edited last. So when I bring up Ctrl+Tab it will typically show me those files I was in last. I am not really looking at the number of files in there, I am only interested in the Top 5 ones at max. The advantage of this model is that you do not have to manage layouts and tabs at all. The management happens naturally while you navigate between files.We can add a file picker for working files, but it would be interesting to hear if people can be convinced to use Ctrl+Tab as it is today and learn what the issues are.",
"<relative-time class=""no-wrap"" datetime=""2015-12-21T13:42:54Z"">Dec 21, 2015</relative-time>","@bpasero I'll give ctrl+tab a shot, I just realized it can be used for going by to the previous file which is something I wanted and hadn't looked into yet until now. So that's nice.By the way, regardless of whether one can get by / used to ctrl+tab as an alternative to tabs, new VS code users will probably be put off by the lack of tabs, so if only for marketshare reasons I'd recommend having a tabs option. Every other editor uses tabs (for better or worse), and not having them introduces a rather unnecessary entry barrier to VS code. I'm using VS code regardless of tab support because of its awesome typescript support, but if it wasn't for that I don't know if I would have kept at it the first few times I tried it.",
"<relative-time class=""no-wrap"" datetime=""2015-12-21T13:49:50Z"">Dec 21, 2015</relative-time>","Yes, Ctrl+Tab is all about navigating back in history of files being worked on. You can press and hold the Ctrl key and press Tab repeated times to go back beyond 1 file.",
