"['Nov 18, 2015']","Whenever I try to install any extension, using ext install, I get a connect ETIMEDOUT 191.238.172.191:443 error.Trying to navigate to https://191.238.172.191 in the browser produces a warning regarding the certificate being valid only for *.market.visualstudio.com, but I'm allowed to proceed.Shouldn't VSCode try to connect to the name instead of the IP?I'm behind a proxy, VSCode updates just fine behind it, and also lists the available extensions. The firewall here logs the invalid certificate but allows the connection to proceed. Doesn't look like a problem in my end...OS: Windows 7VSCode: 0.10.1","['https://191.238.172.191', 'https://191.238.172.191']"
"['Nov 18, 2015']","I'm getting nearly the same thing although it never lists the available extensions for me.  I get a ""self signed certificate in certificate chain"" error but I believe it is related to this issue as the rest is the same as well.OS: Windows 8.1VSCode: 0.10.1",
"['Nov 18, 2015']","Currently using ZScaler as (company) proxy. It usually needs its own certificate (acting as a MITM) to be considered in order not to have the following error: ""unable to get local issuer certificate"".There should be either a ""valid certificates"" configuration (accepting a folder or a file path) or a ""do not validate the certificate chain"" boolean setting.",
"['Nov 19, 2015']","It seems like vscode is ignoring the ""http.proxy"" configuration when downloading extensions. For me, it works fine when listing extensions.So, it's getting the IP resolved and connecting directly, rather than using a proxy.",
"['Nov 19, 2015']","yeah, I met the same issue.",
"['Nov 19, 2015']","same issue here, can't install extensions~",
"['Nov 19, 2015']",Not yet fixed.,
"['Nov 20, 2015']","suggest to reference atom's implementation, by using strict-ssl = falsehttps://atom.io/docs/v1.0.0/getting-started-installing-atom#setting-up-a-proxy",
"['Nov 20, 2015']","@bpasero Out of curiosity, is there a general timeframe for releasing changes merged into master?",
"['Nov 20, 2015']","Like always, we will maintain a monthly release cadence. There are plans to get an unstable update channel out there, but this might take a while.",
"['Nov 20, 2015']",Thanks for the info!,
"['Nov 23, 2015']",@bpasero Will it works with MS NTLM proxy?,
"['Nov 23, 2015']","Not sure, @aeschli can you comment, it uses your proxy work.",
"['Nov 23, 2015']","Sorry I don't know how MS NTLM is related to HTTP proxies. Do you have more information, @KindDragon ?",
"['Feb 17, 2016']","if I try to List the Extensions, it doesn't show anything. After a while I have an errorWhen I toggle developper mode this is what I seegetaddrinfo ENOTFOUND [mylogin] [mylogin]:80: Error: getaddrinfo ENOTFOUND [mylogin] [mylogin] :80at errnoException (dns.js:25:10)at GetAddrInfoReqWrap.onlookup as oncomplete",
"['Feb 17, 2016']","What do you get if you run node and in its interactive prompt run require('url').parse('YOUR PROXY URL')?Namely, do the host and auth parameters look OK to you?",
"['Feb 17, 2016']","that's exactly what I tracked down while I was debugging, the parsing has something wrong and you're right i tracked it down to the https-proxy module which leverages on the node url parser.the data is totally messed up.I Managed to track it down to the presence of a '#' character in my password. might be worth url-encoding  the content maybe",
"['Feb 17, 2016']",Good catch. You should url encode the password before putting it in a url yeah.,
"['Feb 18, 2016']","I'm running CNTLM with Code 0.10.8 and resolved this error by adding the protocol to the http.proxy preference.I was attempting with ""http.proxy"": ""localhost:3128"" and I changed it to ""https://localhost:3128"" to get it working.Parsing the old URL in node's interactive console gave the following output, which put me on the right track (thanks!):require('url').parse('localhost:3128')Url {protocol: 'localhost:',slashes: null,auth: null,host: '3128',port: null,hostname: '3128',hash: null,search: null,query: null,pathname: null,path: null,href: 'localhost:3128' }",
"['Feb 18, 2016']","@xaqfox Wow man, this fixed the issue on my side. I bit sad that different projects need different a syntax for http_proxy (that said I can't believe I did not try that syntax myself). Thanks for the tip! (Still not sure why I could not see any traffic in the first place but hey, I got other things to take care of).",
