"['Jun 8, 2016']","VSCode Version: Version 1.3.0-insider (1.3.0-insider) 6bc81dfOS Version: OS X 10.11.5Steps to Reproduce:A message pops up saying there's a new version and Insiders will be updated after it restarts.Click 'Update Now'. Code closes but doesn't reopen even after waiting a very long time.After manually reopening it it's still on the previous versionThis has been happening for the last few weeks so it isn't a recent development, but with the daily builds now it's a little more annoying. Downloading the most recent version from the website and replacing it works fine. The stable build of Code I have installed does the automatic update fine. I have both builds installed in my Applications folder.",
"['Jun 9, 2016']","Does it always happen? In other words, was an Insider update never successful for you?",
"['Jun 9, 2016']",@joaomoreno As far as I can remember it's always happened with the insiders build and has never been successful.,
"['Jun 9, 2016']",Have you ever opened Code with sudo?,
"['Jun 9, 2016']",Not that I remember. Is there a way I can check to see if I did and fix it?,
"['Jun 10, 2016']","Basically, you can check the permissions of ~/.vscode-insiders and ~/Library/Application Support/Code - Insiders.",
"['Jun 10, 2016']",~/.vscode-insiders - drwxr-xr-x  7 myusername~/Library/Application Support/Code - Insiders - drwx------  10 myusernameI tried removing both of those folders and reinstalling an insiders build from a couple of days ago and it still won't update.,
"['Jul 12, 2016']",@scottaddie Let's do something else:Try to get an update. For that you can manually download an older version and then trigger the update.Open the Console.app OS X application and look for any suspicious error/warning messages in there.,
"['Jul 13, 2016']",vscodelog.txtHere's a copy of the log from when the app started and for the next few minutes after I clicked the 'update' button in vs code. The service errors continue to happen even after quitting vs code. Let me know if there's anything else I can provide.,['https://github.com/Microsoft/vscode/files/360595/vscodelog.txt']
"['Jul 13, 2016']",electron/electron#5139 - did you try restarting your machine? ,"['https://github.com/electron/electron/issues/5139', 'https://github.com/electron/electron/issues/5139', 'https://github.githubassets.com/images/icons/emoji/unicode/1f616.png']"
"['Jul 24, 2016']","Restarting me machine stopped the errors, but they just started again the next time I tried to update the program.",
"['Aug 17, 2016']","I'm still having this problem. If anyone wants to remote debug my machine, I'm here! Any time I update manually, i.e. grabbing the latest and overwriting it in my applications folder, I still have the problem. the stable build never hiccups.",
"['Sep 2, 2016']",I am also experiencing this same issue with similar Console.app logs. Also resorting to overwriting every time I need to update.,
"['Sep 2, 2016']",@ryanmagoon @stephenlaughton Can we take a look at your logs too?,
"['Sep 3, 2016']","Sure! I’ll grab them in the morning.Ryan MagoonSent with AirmailOn September 2, 2016 at 4:42:00 PM, João Moreno (notifications@github.com)wrote:@ryanmagoon https://github.com/ryanmagoon @stephenlaughtonhttps://github.com/stephenlaughton Can we take a look at your logs too?—You are receiving this because you were mentioned.Reply to this email directly, view it on GitHub#7426 (comment),or mute the threadhttps://github.com/notifications/unsubscribe-auth/AFFJutEuRtA3AlhFNEG4Rex55k3oL3S4ks5qmIoVgaJpZM4IxH5w.","['https://github.com/microsoft/vscode/issues/7426', 'https://github.com/microsoft/vscode/issues/7426', 'https://github.com/notifications/unsubscribe', 'https://github.com/notifications/unsubscribe']"
