288010,per target override for xdc Bool, like other standard types  individual targets should be able to define a special symbol in their own std h which would designate the target itself has defined xdc Bool on its own  the xdc std h file would not define xdc Bool in this case the default definition of xdc Bool is unsigned short  which is less than desirable on some targets  ,1
432727,Adding a Input Output definition in configuration is buggy,  ,1
470191, Unit Test Failure  org eclipse emf facet aggregate tests internal CustomizationsCatalogViewTests testCustomizationsView, This test fail randomly with the folling error org eclipse swt SWTException  Failed to execute runnable  java lang AssertionError  The aggregate must be in the view java 4397 java 4312 java 196 java 150 java 4688 java 57 invoke0 Native Method java 62 java 43 java 497 java 47 java 12 java 44 java 17 java 271 java 70 java 50 java 238 java 63 java 236 java 53 java 229 java 309 java 127 java 26 java 238 java 63 java 236 java 53 java 229 java 309 java 127 java 26 java 238 java 63 java 236 java 53 java 229 java 309 java 50 java 38 java 467 java 683 java 390 java 62 java 47 java 745 Caused by  java lang AssertionError  The aggregate must be in the viewjava 88 java 41 java 621 java 70 java 59 java 35 java 135 java 4145 java 3762 java 1113 java 332 java 997 java 140 java 611 java 332 java 567 java 150 java 124 java 54 java 48 java 196 java 110 java 79 java 354 java 181 invoke0 Native Method java 62 java 43 java 497 java 636 java 591 java 1450 java 1426  ,1
280999,Symbolic Folder Links  Editor uses absolute canonical realpath files  sync error, Build ID  M20090211 1700Steps To Reproduce 1   Create Linux symbolic link to folder2   Create project with root in subfolder of linked folder3   Use navigator to open a PHP fileError 1   Eclipse ignores the fact that it s a symbolic link and insists on using the absolute canonical realpath  displayed in title bar This is wrong   When I moved my files to another location I expected to be able to only change the  linux symbolic link  and have everything else be the same   Instead I had to recreate all of my projects because the absolute path was hardcoded in them But there is an even worse problem which is driving me nuts Suppose you have two files   a php  and b php  and thphpOpen both of the files in the edit window   Confirm thIn file a php right click on an instance of the function and select  Open Definition  Error 2 You now get a new edit window for b php  and this window has the symbolic path instead of the absolute path Eclipse now treats these files as separate  Make a change to one file and the other file complains about losing sync There seem to be several ways to get into this state   This is especially a problem when debugging and stepping through the code Sometimes Eclipse references the file by it s symbolic path and most of the time by it s absolute path   When both versions of the same file are open it causes a greExpected behavior is thBeyond th  More information I am only using the PDT version of Eclipse These links were created using the linux shell  ,1
322288,JPA  GlassFish V3 tutorial requires completion for Eclipse 3 6 and NetBeans 6 9 IDEs, Currently the Eclipse plugin has issuesThe Netbeans 6 9 embedded Glassfish 3 0 1 server debugs fine ,2
470588,TaskListView is restored before tasks ui plugin starts, After installing the following Mylyn features and plugins  list taken from About Eclipse  gt  Installation Details  gt  Configuration  and the obligatory restart  org eclipse mylyn feature  3 16 0 v20150602 2242   Mylyn Tasks   org eclipse mylyn bugzilla feature  3 16 0 v20150525 2001   Mylyn Tasks   org eclipse mylyn builds  1 8 0 v20150525 1955   Mylyn Builds   org eclipse mylyn commons  3 16 0 v20150526 1951   Mylyn Commons   org eclipse mylyn commons identity  1 8 0 v20150526 1951   Mylyn Commons   org eclipse mylyn commons notifications  1 8 0 v20150602 2344   Mylyn Commons   org eclipse mylyn commons repositories  1 8 0 v20150526 1951   Mylyn Commons   org eclipse mylyn commons repositories http  1 8 0 v20150526 1951   Mylyn Commons   org eclipse mylyn context feature  3 16 0 v20150522 2252   Mylyn Context   org eclipse mylyn discovery  3 16 0 v20150602 1735   Mylyn Commons   org eclipse mylyn gerrit feature  2 7 0 v20150529 1745   Mylyn Reviews   org eclipse mylyn git  1 8 0 v20150529 1922   Mylyn Versions   org eclipse mylyn hudson  1 8 0 v20150525 1955   Mylyn Builds   org eclipse mylyn java feature  3 16 0 v20150522 2252   Mylyn Context   org eclipse mylyn monitor  3 16 0 v20150526 1951   Mylyn Commons   org eclipse mylyn reviews feature  2 7 0 v20150526 1951   Mylyn Reviews   org eclipse mylyn team feature  3 16 0 v20150522 2252   Mylyn Context   org eclipse mylyn versions  1 8 0 v20150525 1956   Mylyn Versions   org eclipse mylyn wikitext feature  2 5 0 v20150522 1430   Mylyn WikiText my IDE shows the Task List view  but only with an error message as content org eclipse core runtime CoreException  Plug in  org eclipse mylyn tasks ui  was unable to instantiate class  org eclipse mylyn internal tasks ui views TaskListView  java 194 java 186 java 905 java 243 java 55 java 58 java 101 java 279 java 317 invoke0 Native Method java 62 java 43 java 483 java 56 java 898 java 879 java 121 java 345 java 264 java 162 java 104 java 73 java 55 java 129 java 971 java 640 java 525 java 42 java 509 java 69 java 971 java 640 java 746 java 717 java 711 java 42 java 695 java 1306 java 103 java 658 java 746 java 717 java 711 java 42 java 695 java 71 java 151 java 654 java 746 java 717 java 711 java 42 java 695 java 71 java 151 java 654 java 746 java 717 java 711 java 42 java 695 java 71 java 151 java 654 java 746 java 717 java 711 java 42 java 695 java 1205 java 1170 java 1301 java 1266 java 4211 java 70 java 4207 java 376 java 4873 java 5654 objc msgSendSuper Native Method java 5051 java 5432 objc msgSend Native Method java 94 java 3692 java 172 java 387 java 500 java 284 java 997 java 70 java 1032 java 1007 java 95 java 186 java 145 java 4781 java 90 java 88 java 175 java 276 java 224 java 262 java 106 java 537 java 138 java 127 java 292 java 260 java 404 java 269 java 175 java 771 java 1 doPrivileged Native Method java 764 java 721 java 941 java 318 java 571 java 439 java 454 java 107 java 531 java 324 java 327 java 36 java 398 java 352 java 344 java 160 java 357 getDeclaredConstructors0 Native Method java 2658 java 2964 java 403 java 755 java 706 java 941 java 318 java 571 java 439 java 454 java 107 java 531 java 324 java 327 java 402 java 352 java 344 java 160 java 357 java 573 java 174 java 905 java 243 java 55 java 96 java 97 java 130 java 130 java 130 java 119 java 97 java 256 java 126 java 70 java 478 java 114 java 322 java 470 java 446 java 412 java 376 java 971 java 640 java 746 java 717 java 711 java 42 java 695 java 288 invoke Unknown Source java 43 java 483 java 56 java 83 java 197 java 197 java 1 java 230 java 148 java 135 java 78 java 39 java 85 java 59 java 374 java 249 java 356 java 341 java 369 java 173 java 145 java 654 java 746 java 717 java 711 java 42 java 695 java 142 invoke0 Native Method java 62 java 43 java 483 java 56 java 83 java 197 java 197 java 1 java 230 java 148 java 135 java 78 java 39 java 85 java 59 java 374 java 303 java 568 java 2314 java 2367 java 3528 java 2567 java 666 invoke0 Native Method java 62 java 43 java 483 java 56 java 898 java 121 java 86 java 73 java 1486 java 2635 java 2018 java 2066 java 2034 java 1956 java 40 java 186 java 145 java 4781 java 211 java 36 java 197 java 197 java 1 java 230 java 148 java 135 java 78 java 39 java 85 java 59 java 374 java 431 java 615 java 525 java 42 java 509 java 69 java 971 java 640 java 746 java 717 java 711 java 42 java 695 java 1306 java 103 java 658 java 746 java 717 java 711 java 42 java 695 java 71 java 151 java 654 java 746 java 717 java 711 java 42 java 695 java 71 java 151 java 654 java 746 java 717 java 711 java 42 java 695 java 71 java 49 java 654 java 746 java 717 java 711 java 42 java 695 java 82 java 103 java 63 java 658 java 746 java 717 java 711 java 42 java 695 java 71 java 151 java 654 java 746 java 717 java 711 java 42 java 695 java 71 java 614 java 654 java 746 java 717 java 711 java 42 java 695 java 1061 java 337 java 1018 java 156 java 654 java 337 java 598 java 150 java 139 java 196 java 134 java 104 java 380 java 235 invoke0 Native Method java 62 java 43 java 483 java 669 java 608 java 1515 Caused by  java lang NullPointerExceptionjava 1397 java 30 java 278 newInstance0 Native Method java 62 java 45 java 408 java 433 java 184     356 more ,2
172437, persistence  RSE must recover when  RemoteSystemsConnections  is not available, RSE needs to recover from problems much much more reliable  Unfortunately RSE is storing persistent data within the workspace instead of  metadata  where the data would belong anyway   If a user now by accident or by cleaning up his workspace directory and don t know whorg eclipse core internal resources ResourceException  Resource   RemoteSystemsConnections  is not open java 97 java 32 java 88 java 784 java 757 java 99 java 349 java 147 java 58 java 164 java 470 java 999 doPrivileged Native Method java 993 java 974 java 327 java 260 java 400 java 111 java 415 java 189 java 350 java 418 java 379 java 367 java 83 java 251 java 289 java 227 java 1269 java 160 java 787 java 243 java 51 java 234 java 69 java 305 java 210 java 566 java 3881 java 2905 java 1948 java 2888 java 2836 java 1712 java 1445 java 1710 java 1681 java 1560 java 37 java 1504 java 183 java 751 java 1109 java 1878 java 425 java 149 java 91 java 1 java 36 invoke0 Native Method java 39 java 25 java 585 java 522 java 147 java 104 java 74 java 354 java 170 invoke0 Native Method java 39 java 25 java 585 java 339 java 283 java 984 java 959 org eclipse core internal resources ResourceException  Resource   RemoteSystemsConnections dom properties  does not exist java 310 java 193 java 181 java 164 java 101 java 349 java 147 java 58 java 164 java 470 java 999 doPrivileged Native Method java 993 java 974 java 327 java 260 java 400 java 111 java 415 java 189 java 350 java 418 java 379 java 367 java 83 java 251 java 289 java 227 java 1269 java 160 java 787 java 243 java 51 java 234 java 69 java 305 java 210 java 566 java 3881 java 2905 java 1948 java 2888 java 2836 java 1712 java 1445 java 1710 java 1681 java 1560 java 37 java 1504 java 183 java 751 java 1109 java 1878 java 425 java 149 java 91 java 1 java 36 invoke0 Native Method java 39 java 25 java 585 java 522 java 147 java 104 java 74 java 354 java 170 invoke0 Native Method java 39 java 25 java 585 java 339 java 283 java 984 java 959  ,2
519266,Tooling not working unless page is refreshed,  2  click on app js 3  drill into public js main js4  BUG  there are tons of warning5  Refresh the page6  the warnings go away ,2
379233,Manifest generation seems to be inactive,   and then added code which referenced another bundle s packages into the source code of the activator  The bundle was redeployed to the server and correctly threw a CNFE for one of the referenced classes I then went to the test bundle Overview tab and ticked checked  Automatically update MANIFEST MF file in background   The manifest was not updated to include the missing dependencies  I then clicked  Update MANIFEST MF  on the Overview tab and no changes were made to the manifest As a workaround  I added the necessary package imports by hand using the MANIFEST MF tab   Virgo reported   lt DE0701E gt  Cannot determine the artifact identity of the file         but th  ,2
465206,Import Existing Projects should warn when project name is overridden, PRECONDITION    checked out project Yang  in svn subfolder is YangModel but in  project file the name is Yang  into empty folder named FFF   gt  FFF YangModel  checked out project is checked out into folder YangModel  folder YangModel contains after checkout the file  project   project file contains this content  lt  xml version  1 0  encoding  UTF 8   gt  lt projectDescription gt  lt name gt Yang lt  name gt  lt comment gt  lt  comment gt  lt projects gt  lt  projects gt  lt buildSpec gt  lt buildCommand gt  lt name gt org eclipse jdt core javabuilder lt  name gt  lt arguments gt  lt  arguments gt  lt  buildCommand gt  lt  buildSpec gt  lt natures gt  lt nature gt org eclipse jdt core javanature lt  nature gt  lt  natures gt  lt  projectDescription gt   FFF was not workspace before and only contains fresh checked out project folderACTION   Eclipse with FFF as worpspace  Menu File  gt Import  gt General  gt Existing Projects into Workspace   gt  Browse  select in folder search dialog the folder name FFF  workspace folder   click okEXPECTATION   Projects list contains project called YangOBSERVATION   project list contains project called YangModel  as folder name RESULTING PROBLEM   Because in Keppler it was working correct  users in Keppler and Luna can not work together when folder name and project name are different  Every svn checkin the  classpath files of other projects inside same workspace FFF has another project dependency  In Keppler the project dependency is called  Yang   as project name of Yang project in  project file  and in Luna  YangModel   as folder name of project Yang   So Keppler and Luna User  are checking in every times a changed  classpath for dependend projects  lt classpathentry combineaccessrules  false  kind  src  path   Yang   gt versus lt classpathentry combineaccessrules  false  kind  src  path   YangModel   gt Probably similar bug report   ,2
