495852,Keyboard loosing focus on Java perspective, Happens to me everytime  slightly annoying bug  Steps to reproduce  1  on Java perspective  open a resource using CTRL SHIFT R 2  th Pressing ALT F works  so the focus is in eclipse  but I don t know whereUbuntu 14 04 64 bit  The cause could be the one of  Thank you ,3
250639,System in close   blocks inside eclipse  console view , Build ID  M20080911 1700Steps To Reproduce running the following small program from a commandline  winXP    it returns after 3 secondsthe same program started in eclipse blocks on System in close  public class HangOnClose  implements Runnable    public HangOnClose        super        public void run        System out       print  waiting in System in read   for System in to be closed gt         System out flush       try        System out println  char  System in read          catch  final IOException e         e printStackTrace             public static void main final String   args     throws InterruptedException  IOException      new Thread new HangOnClose    start       System out println  wait 3 seconds       Thread sleep 3000      System out println  closing input  System in close         System in close       System out println  input closed       More information  ,3
417869,Plugin launch configuration does not include Bundle Classpath jar files,  as it may be causing a regression   since the switch to 4 3 0 as IDE     we have a problem with our application  same target platform as before the switch  Eclipse 3 8 0    We have a MANIFEST MF doing this Bundle ClassPath     lib slf4j log4j12 1 6 1 jar  lib mail jar  lib jul to log4j 20090813 jar  lib log4j component 20090813 jar  lib log4j extras 20090813 jar  lib slf4j api 1 6 1 jarNow  all classpath entries appear TWICE when launching from the IDE  We debugged a little  and discovered thI think the previous  fix  from this bug is the cause of the problem  In our scenario this means that slf4j gets on the classpath twice  yielding this SLF4J  Class path contains multiple SLF4J bindings SLF4J  Found binding in  bundleresource   64 fwk175408781 6 org slf4j impl StaticLoggerBinder class SLF4J  Found binding in  bundleresource   64 fwk175408781 13 org slf4j impl StaticLoggerBinder class SLF4J  See  for an explanation I think there is more to do      can somebody please reopen     This bug was initially created as a clone of     Build Identifier  20100917 0705I have a plugin thI did some investigation into the PDE code to see where the problem lies  The ClasspathHelper class correctly looks through each library on the Bundle Classpath to add them to the runtime path  The problem comes in when it looks The PDE launcher should respect the classpath defined by the manifest and include jar files even if they are not linked or the bundle ID is  org eclipse osgi     A sample testcase project is included as an attachment  Details are described below   Contents of Manifest MF Manifest Version  1 0Bundle ManifestVersion  2Bundle Name  Test pde projectBundle SymbolicName  test pde projectBundle Version  1 0 0 qualifierRequire Bundle  org eclipse ui  org eclipse core runtimeBundle ClassPath  plugin out jar  lib dummy jarContents of build properties source plugin out jar   src output     bin bin includes   META INF                  plugin out jar                 lib dummy jarplugin out jar is the output jar file thproperties   Wed Oct 06 10 11 09 ADT 2010test pde project bin ignoredot  trueReproducible  AlwaysSteps to Reproduce 1  Load the attached project 2  Run the  Eclipse Application  launcher from the configuration file 3  Check  metadata  plugins org eclipse pde core Eclipse Application dev properties to see if it correctly included the jar files from the Bundle Classpath  ,3
392258,Allow hot deployment of new plugins,  ,3
457214, Contributions  Redrawn in ToolBarManager should always turned of independent of the number of items, ToolBarManager contains a logic to turn of redraw if the toolbar entries are above a certain limit  I think we should remove the logic because it makes the code a bit more complex and I see no advantage of not doing it for a small number of items See  Line 304boolean useRedraw    clean size      mi length   toRemove size      gt   3  ,3
116462, Java Structure Compare  Incorrect Type Identified, When comparing the following code public static void main String args   The Java Structure Compare view identified the method as main String Apparently it expected th Butin the special case of arrays  the array modifier may occur before or after thevariable  ,3
506266,agent connection drops when evaluating a variable, Elf file exhibiting the problem This happens when trying to display a variable on a VxWorks agent  but I guess it can happen all the time Using the following C   code    8 lt    class CBase public CBase    m nIndex   5  virtual int SetValue int  static const CBase zero int m nIndex   int CBase  SetValue int   return 0  const CBase CBase  zero int main int argc  char   argv  CBase  pBase   new CBase return 0     8 lt    build and debug the generated RTP  if you open the variable view  or add pBase to the expression view  the connection will drop Looking I guess the debugger enter an infinite loop when trying to dig into the  kind of  recursive class definition I guess the static definition of the inner class is not well taken into account by the debugger Maybe the AT containing type tag is not correctly handled here  ,3
114269, jobs  Customizable job scheduling priorities, I realize that the Job doc says  There is no guarantee that jobs of one priority will be run before all jobs of lower priority    However  the reality seems to be that priority has no effect except for distinguishing DECORATOR from all the other priorities   Unless a job has DECORATOR priority it just seems to get run in the sequence in which it was scheduled  and maybe that s only because of a minimum startup delay thSo I m now going to have to do some complicated scheduling when a priority based approach would have been good enough for my purposes Although I don t need a guarantee  something approximately in order would still be really useful  ,3
363203,Indexer doesn t work when adding workspace relative includes to projects not stored in the default location, ScreenshotEclipse IDE for C C   DevelopersVersion  Indigo Service Release 1Build id  20110916 0149 Builder configuration for the indexer  is set to  Use active build configuration My workspace includes a project  Simics  thSince the internal builder is smart enough to replace  lt workspace loc gt  with the actual root directory of the  Simics  project  the indexer should be as well  ,3
102395,Project FORCES source files to be CHILD of project folder, It does not make sense to force source files to be UNDER the project folder   Please read this in entirity   Navigator does not see files that are not child of project folder   I explicitly created a project and specified a separate location of the source files  What if you change IDE s but do not want to replicate or move your source or deal with a foreign project file parent folder   To have a  projectfile that is forced to be ABOVE or part of the source is not good   Why can t the  project file be in the project folder BUT the source for the project be located somewhere else   WITHOUT importing      I tried to do this  but after creating a project with source files located somewhere else  your navigator view DOES NOT SHOW THEM   Therefore  you must import the source files into the project folder in order for the navigator to see them       Can you fix this PS    How do you view  core  Java source files in the navigator project view without being redundant   ie the source files have  class analogs in the core library  jar and you want to view the source in the project but the project should be aware not to comile the  core  source files because the  jar core library files should have precedence PPS  How do you simply insert a file into the project  ,3
