83914, content assist  facts and ideas, Some facts  amp  ideas from discussions with Dani  Kai and others  PRs etc  Justlogging these so they don t get lost A  There are multiple proposal types  currently  also for the Java editor      Normal Java completions    Hippie completion    Templates    Special Java completions        Types      Override implement stubs      Getter setter stubs    Spelling proposals     In a way similar to content assist  quick fix and quick assist proposals B  There are valid reasons for wanting the best match proposal from all theabove  or just a single proposal type  See  forcorresponding requests C  There are different classes of proposals  Pure postfix completion  Textual completions that may also trigger other updates  add imports  changeprefix      Textual completions that may set up a special UI mode  templates  parameterguessing   Proposals thD  There are different UIs possible to let the user select proposals   Pop up with list of proposals  current setting   also works for complexproposals such as the  change compiler settings  quick assist   Prefix completion  can be enabled currently   only works for completions   Simply cycling through proposals without special UI  wh   Shadow  completion   also cycles through the completions  with the proposedsuffix rendered as transient text  Caret stays where it is E  The best of all worlds     separate commands for the different completion types  a  best match  completion th  User  configurable toexactly define what should be shown  configuration of content assist UI independent of the completion type ,3
338063,Eclipse Should support multiple line replace operations, Screenshot of UI for multi line replacement    This bug was initially created as a clone of     As an Eclipse IDE user  I want to search  amp  replace multiple lines of text  eg in order to update file copyright headers to incorporate a new licensing scheme As of Eclipse 3 6 1  the following works nicely for multi line search   1  Search  gt  File      enable the  Regular Expression  checkbox  cancel  2  In an editor  make a multi line selection  3  Press Ctrl H  Search     gt  Multi line selection is searched  and may be replaced by a single line  But I found no way getting a multi line replacement done One idea for supporting this would be a little  Edit Text  icon right to the replacement combo  Clicking thOr  pasting a multi line selection into the combo could directly convert it into something suitable  ,3
349673,Provide a way to make external files writable, Build Identifier  3 6 2When an external files is opened within Eclipse  either through DND or through the File  gt Open menu  and this file is read only it cannot be changed   inside the text  xml editor  and there is also no possibility within eclipse to change the read only state of the file WhReproducible  Always ,3
447193,Enable transient item providers to be created through adapter factories,   Problem description   Transient item providers must be instantiated statefully wrt their target object  i e   the same transient item provider instance must not be used for multiple target objects  The current approach to achieve this  exemplified in org eclipse sphinx examples hummingbird10 ide ui and org eclipse sphinx examples hummingbird20 ide ui  is to bypass the adapter factory and create transient item providers directly instead  This requires quite verbose boilerplate logic for keeping track and disposing on transient item providers on the item providers representing their parent objects and implies th  Proposed solution    Find a way to create transient item providers statefully through the underlying adapter factory  Simplify the code of the parent item providers by using the adapter factory to create retrieve the required transient item providers ,3
533359,org antlr runtime 3 2 0 v201101311130 jar needs to be signed again,  ,3
548443,Windows Defender significantly slows down and freezes Eclipse, Screenshot of Task ManagerFor new users installing Eclipse  Windows Defender by default on Windows 10 can have a significant impact on startup times  This is observed regardless of Eclipse or Java version  Most noticeable of course on larger packages  such as the JEE distribution of Eclipse To reproduce 1  Grab any EPP Eclipse package in Zip form  I believe will also impact Eclipse Installer though installer was failing at time of logging this 2  Ensure thexe or the extract folder isn t excluded from scanning 3  Open Task Manager4  Startup EclipseNote thFor larger IDEs or updates to large configurations  aka updating to 2019 06   this same slowdown is observed during first launch after upgrade Workaround Add to the Windows Defender s Exclusions list  eclipse exe  to bypass it scanning the install Observation It appears this is related to Windows Defender scanning Jars as they are accessed as the Eclipse process does slowly make some headway using a tiny bit of CPU itself  ,3
166645,NPE in TextEditorActionContributor when opening Ant editor, I20061129 1340   ZRH plugins from 20061204 0928  Open an Ant file with the Ant editor  e g  test xml  lt  xml version  1 0  encoding  UTF 8   gt  lt project name  testsuite  default  run  basedir     gt  lt target name  run  gt  lt  target gt  lt  project gt   gt  Error dialog and exception below  I m not sure whose fault this is  AFAICS  the problem is thI ll try to work around it in TextEditorActionContributor for now  but Dani will have to make the final decision ErrorMon Dec 04 15 24 53 CET 2006Problems occurred when invoking code from plug in   org eclipse ui workbench  java lang NullPointerExceptionjava 106 java 131 java 69 java 145 java 335 java 603 java 37 java 850 java 592 java 3179 java 585 java 1147 java 1127 java 1303 java 1292 java 1266 java 1321 java 58 java 502 java 205 java 109 java 81 java 267 java 276 java 1 java 67 java 580 java 187 java 2107 java 292 java 66 java 927 java 3463 java 3077 java 1945 java 1909 java 425 java 149 java 95 java 78 java 104 java 74 java 348 java 165 invoke0 Native Method java 39 java 25 java 585 java 341 java 285 java 987 java 962  ,3
23625, typing  copy whole line without selection, Editor should have option for copying whole line under cursor when pressing Ctrl INSERT   Ctrl C without any text selection  ,3
315934, IDE  Allow to set content type default encoding per project, Build Identifier  20090621 0832Since it is currently not offered  I tried to change it via  Window   Preferences   General   Content Types   Text  but in the first few attempts I failedReproducible  Always ,3
157034, Mapping  Model Providers should respect enabled capabilities,  ,3
